slug,name,city,searchUrl
martinys,Martiny's,New York,https://www.tripadvisor.es/Search?q=Martiny's%20New%20York
masque-restaurant,Masque,Mumbai,https://www.tripadvisor.es/Search?q=Masque%20Mumbai
masque-restaurant-restaurant,Masque,Mumbai,https://www.tripadvisor.es/Search?q=Masque%20Mumbai
maximo-restaurant,Máximo,Mexico City,https://www.tripadvisor.es/Search?q=M%C3%A1ximo%20Mexico%20City
maybe-sammy,Maybe Sammy,Sydney,https://www.tripadvisor.es/Search?q=Maybe%20Sammy%20Sydney
maybe-sammy-bar,Maybe Sammy,Sydney,https://www.tripadvisor.es/Search?q=Maybe%20Sammy%20Sydney
mayta-restaurant-restaurant,Mayta,Lima,https://www.tripadvisor.es/Search?q=Mayta%20Lima
mayta-restaurant-restaurant-restaurant,Mayta,Lima,https://www.tripadvisor.es/Search?q=Mayta%20Lima
mayta-restaurant,Mayta,Lima,https://www.tripadvisor.es/Search?q=Mayta%20Lima
mecenas,Mecenas,Guadalajara,https://www.tripadvisor.es/Search?q=Mecenas%20Guadalajara
meet-the-bund-restaurant-restaurant,Meet the Bund,Shanghai,https://www.tripadvisor.es/Search?q=Meet%20the%20Bund%20Shanghai
meet-the-bund-restaurant,Meet the Bund,Shanghai,https://www.tripadvisor.es/Search?q=Meet%20the%20Bund%20Shanghai
merito-restaurant,Mérito,Lima,https://www.tripadvisor.es/Search?q=M%C3%A9rito%20Lima
merito-restaurant-restaurant,Mérito,Lima,https://www.tripadvisor.es/Search?q=M%C3%A9rito%20Lima
merito-restaurant-restaurant-restaurant,Mérito,Lima,https://www.tripadvisor.es/Search?q=M%C3%A9rito%20Lima
mhel-restaurant,Mhel,Toronto,https://www.tripadvisor.es/Search?q=Mhel%20Toronto
mhel-restaurant-restaurant,Mhel,Toronto,https://www.tripadvisor.es/Search?q=Mhel%20Toronto
mil-restaurant,Mil,Moray,https://www.tripadvisor.es/Search?q=Mil%20Moray
mimi-kakushi,Mimi Kakushi,Dubai,https://www.tripadvisor.es/Search?q=Mimi%20Kakushi%20Dubai
mimi-kakushi-bar,Mimi Kakushi,Dubai,https://www.tripadvisor.es/Search?q=Mimi%20Kakushi%20Dubai
mingles-restaurant,Mingles,Seoul,https://www.tripadvisor.es/Search?q=Mingles%20Seoul
mingles-restaurant-restaurant,Mingles,Seoul,https://www.tripadvisor.es/Search?q=Mingles%20Seoul
